customer_tweet_id,customer_text,raw_customer_text,support_tweet_id,support_text,support_author_id,brand,intent
616,"3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day","@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",618,@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,AmazonHelp,AmazonHelp,delivery_or_delay
617,Way to drop the ball on customer service so pissed right now!,Way to drop the ball on customer service @115821 so pissed right now!,615,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",AmazonHelp,AmazonHelp,other
621,I want my amazon payments account CLOSED. dm me please.,@115823 I want my amazon payments account CLOSED.  dm me please.,620,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH",AmazonHelp,AmazonHelp,payment_or_billing
623,"Okay, danke für die Info","@AmazonHelp Okay, danke für die Info",625,@115824 Wir haben zu danken. Schönen Abend noch. ^JS,AmazonHelp,AmazonHelp,other
624,"also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?",622,"@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS",AmazonHelp,AmazonHelp,other
627,Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,629,@115827 Thanks for your patience. ^KM,AmazonHelp,AmazonHelp,delivery_or_delay
628,How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,626,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,AmazonHelp,AmazonHelp,delivery_or_delay
632,my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!!,"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM",631,@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,AmazonHelp,AmazonHelp,delivery_or_delay
634,why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,633,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,AmazonHelp,AmazonHelp,delivery_or_delay
636,"Thanks for the style advice, look ...I think? #Halloween2017 #flamingo","Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",635,@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,AmazonHelp,AmazonHelp,other
638,Hi ready for some help,@AmazonHelp Hi ready for some help,637,@115834 Were you able to reach us at the link DW provided? ^TR,AmazonHelp,AmazonHelp,other
640,Is the Echo Show no longer supported?,@AmazonHelp Is the Echo Show no longer supported?,639,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW",AmazonHelp,AmazonHelp,technical_issue
643,"Bought an Echo Show and it won’t recognize a single account in our household. WTF, guys?","Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?",642,"@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG",AmazonHelp,AmazonHelp,technical_issue
