id,customer_text,gold_intent,intent,confidence,reply,decision,reason,top_similarity
96,"Cuándo me quejo me decís que lo he hecho de otra cuenta, cuando os envío el correo de confirmación del pedido de mi cuenta... Silencio",technical_issue,technical_issue,0.628,"We're sorry for the technical trouble. Please try clearing the app cache, ensuring your device is updated, and restarting the application. If the issue persists, our technical team is here to help.",AUTO_HANDLE,Standard technical issue supported by historical troubleshooting guidance.,0.3854
16,Whays the point of even doing same day shipping when the deliveries aren't even attempted... home all day and no one came by.,delivery_or_delay,delivery_or_delay,0.9913,"We are sorry to hear your delivery is delayed! Please check your order tracking in 'Your Orders' for real-time carrier updates, or message us directly with your order details so we can investigate.",AUTO_HANDLE,Clear delivery inquiry with strong historical guidance on order tracking and carrier follow-up.,0.2534
31,And this is your fault so refund is not a solution right?,refund_or_compensation,refund_or_compensation,0.9446,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'refund_or_compensation' requires individual account inspection.,0.367
159,"horrible experience of buying washing machine, no return no replacement no escalation model only mails, last one to expect this!",complaint_or_feedback,complaint_or_feedback,0.3702,"We apologize for the inconvenience. To securely investigate your account details and resolve this, our specialist team will review your case directly.",ESCALATE_TO_HUMAN,Intent confidence (0.37) below threshold (0.4).,0.2825
129,I think 12 hours completed.😎 Till now no one called me. #FakeAmazonOffers #FraudAmazon,product_or_service_info,other,0.7411,"We apologize for the inconvenience. To securely investigate your account details and resolve this, our specialist team will review your case directly.",ESCALATE_TO_HUMAN,Triggered sensitive keyword guard 'fraud' requiring human oversight.,0.2928
116,"um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",account_or_access,account_or_access,0.9619,"We apologize for the inconvenience. To securely investigate your account details and resolve this, our specialist team will review your case directly.",ESCALATE_TO_HUMAN,Account security and authentication issues require direct human specialist verification.,0.2757
70,Reporting is next step... First show me what u said.. R u saying that third party app Komparify is the one to be used for recharge?,payment_or_billing,other,0.3954,"We apologize for the inconvenience. To securely investigate your account details and resolve this, our specialist team will review your case directly.",ESCALATE_TO_HUMAN,Intent confidence (0.40) below threshold (0.4).,0.3081
171,"Amazon UK, didn't even know Amazon IT was a thing.",other,other,0.6146,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'other' requires individual account inspection.,0.3429
175,"I have checked, I didnt receive any mail today from social media escalation team.",other,other,0.801,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'other' requires individual account inspection.,0.5439
46,Nothing that I hadn't received in the last 10 days. How about you at least process refund? Haven't seen a more horrific customer service,refund_or_compensation,refund_or_compensation,0.7721,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'refund_or_compensation' requires individual account inspection.,0.3294
67,Hey your app is throwing errors while I try to make the payment. Tried a number of times already!! My orders got cancelled :(,payment_or_billing,payment_or_billing,0.8478,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'payment_or_billing' requires individual account inspection.,0.2745
183,Of course you’ve missed it - that’s how you work and after 20 minutes on live chat you’ve still done nothing - do you take training in,other,other,0.6726,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'other' requires individual account inspection.,0.3091
166,I do not need it anymore now as it is will no longer meet the need it was supposed to. To think your advisers can lie to people and then fob me off is unacceptable.I could have gone out to the chemist or supermarket to buy but stayed home waiting for something that wasn't coming,complaint_or_feedback,complaint_or_feedback,0.2582,"We apologize for the inconvenience. To securely investigate your account details and resolve this, our specialist team will review your case directly.",ESCALATE_TO_HUMAN,Intent confidence (0.26) below threshold (0.4).,0.2257
79,Hmmm. So I’ve received an invite for amazon Echo.,technical_issue,technical_issue,0.9577,"We're sorry for the technical trouble. Please try clearing the app cache, ensuring your device is updated, and restarting the application. If the issue persists, our technical team is here to help.",AUTO_HANDLE,Standard technical issue supported by historical troubleshooting guidance.,0.4989
187,help. I’m asking for 2 tickets,booking_or_travel,booking_or_travel,0.9969,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'booking_or_travel' requires individual account inspection.,0.4302
178,u only know copy and paste the line to satisfy customer from last 24hr u only saying u are working on it,other,other,0.4748,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'other' requires individual account inspection.,0.2396
57,"You told that it was bcoz of limited stock, u should check stick b4 payment",payment_or_billing,payment_or_billing,0.6048,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'payment_or_billing' requires individual account inspection.,0.1949
153,I have called amazon thrice in the last 12 hours and there has been no resolution . This is ridiculous .,complaint_or_feedback,complaint_or_feedback,0.6867,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'complaint_or_feedback' requires individual account inspection.,0.2498
83,is there a prob with your app on smart TVs? 2 days and still not working 😩,technical_issue,technical_issue,0.9501,"We're sorry for the technical trouble. Please try clearing the app cache, ensuring your device is updated, and restarting the application. If the issue persists, our technical team is here to help.",AUTO_HANDLE,Standard technical issue supported by historical troubleshooting guidance.,0.3712
69,reg. Ord 404-7091504-9405917. You should have alerted me regarding the deduction to my Amazon Pay Balance before doing so. #sucks,payment_or_billing,payment_or_billing,0.9274,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'payment_or_billing' requires individual account inspection.,0.32
