id,customer_text,gold_intent,brand,support_tweet_id,customer_tweet_id
1,Where is my order?,delivery_or_delay,AmazonHelp,2564,2565
2,Your app just says Amazon shipping Q40697376884,delivery_or_delay,AmazonHelp,229748,229747
3,"Original delivery estimate was Friday, and need it urgently!",delivery_or_delay,AmazonHelp,315305,315307
4,"Order cancelled Sep26, still no news of refund. TrackingID 451101869025",delivery_or_delay,AmazonHelp,224949,224951
5,"Last week was delivered to the wrong address, today was “Prime” handling..nice.",delivery_or_delay,AmazonHelp,367424,367425
6,what's the craic with paying next day delivery and it not being here ? Is this a joke ?,delivery_or_delay,AmazonHelp,295890,295892
7,"the mantra used to be based around 2-Day Shipping, but I have yet another “delayed delivery”.",delivery_or_delay,AmazonHelp,320869,320871
8,Ummm why are you delivering packages at 11:20pm? That order was supposedly going to arrive by 9pm.,delivery_or_delay,AmazonHelp,382234,382235
9,"Hey , how is something I ordered today with #prime have a delivery date of Dec 7? How is that TWO days?",delivery_or_delay,AmazonHelp,448614,448616
10,"Sort it out please, I don't pay the subscription fee to have my parcels left where anyone could steal them.",delivery_or_delay,AmazonHelp,386777,386778
11,Pathetic experience with ur delivery as Order# 406-3337694-5036344 not delivered on time. CSE can't track order,delivery_or_delay,AmazonHelp,324395,324397
12,Dont believe u & at checkout said 2 day shipping guarantee by 10/4 but after money taken out delivery dates changed,delivery_or_delay,AmazonHelp,204945,204947
13,"It is very unfortunate , disappointing that Amazon india miserably failing to deliver on the date committed by them .",delivery_or_delay,AmazonHelp,377761,377763
14,"(was refused at the time of delivery. If you have not refused the package, please contact Amazon.) Extract frm txt msgs.",delivery_or_delay,AmazonHelp,381952,381950
15,"Ordered a cell phone case from . Tracking info says it was delivered yesterday, but I never received anything. So annoying.",delivery_or_delay,AmazonHelp,301067,301069
16,Whays the point of even doing same day shipping when the deliveries aren't even attempted... home all day and no one came by.,delivery_or_delay,AmazonHelp,313667,313669
17,disappoints again. Received text that groceries were delivered but they weren’t (prob wrong house). And they can’t re-deliver 😩,delivery_or_delay,AmazonHelp,292840,292841
18,No. This is the 2nd order in a couple of weeks to go for a day trip around Dundee. The last parcel eventually came 4 days later.,delivery_or_delay,AmazonHelp,279696,279697
19,paid 4 nextday delivery only 2 b told after notifications all day saying that they r delivering 2day only 2 b told they cant deliv,delivery_or_delay,AmazonHelp,46487,46489
20,I ordered an Apple Ipad whose delivery date was yesterday (Oct 4). I haven't received it yet and customer care just wastes my time☹️,delivery_or_delay,AmazonHelp,232173,232174
21,hello guys the third party seller send me an email today send me a tracking number of the item in Oct 2nd still the package unresolved 😕,delivery_or_delay,AmazonHelp,253419,253418
22,"Its been 2 days since d expctd delivery date, still no cnfrmtion of my order delivery, I hv called 8 times since 6oct. Only false promises.",delivery_or_delay,AmazonHelp,285054,285053
23,my parcel was left right outside my front door for anyone to steal! I even have a safe place set up which the delivery person ignored! Fuming!!!!,delivery_or_delay,AmazonHelp,103054,103059
24,"never ever using you again. 5 agents promising call backs but nothing. Items not delivered but showing they are!!! Its for us now to deal with xmas,and rest of year.",delivery_or_delay,AmazonHelp,456546,456547
25,Hey what is going on with your provider ? I’ve ordered 5 things and 4 of them have been delayed. Ordered a Prime on 3 of them. On is now 7 days late...should have just bought it at the store,delivery_or_delay,AmazonHelp,78821,78823
26,After a few months of issues with deliveries and escalation to fulfillment and asking for postmaster general-- my latest missing package arrived in a brand new box and the item inside bent at 45° angle... 120in curtain rod.,delivery_or_delay,AmazonHelp,459058,459060
27,"I Got my #XboxOneX and the Outside box looked like Ace Ventura delivered it, Amazon used to big of a box and did not put anything inside to protect it worst delivery i have ever received thank goodness the #ScorpioEdition box was fine and it is a miracle!",delivery_or_delay,AmazonHelp,264446,264447
28,"And to add insult to injury, an amazon delivery driver WAS outside my house. I watched him from the window shuffle boxes around the back of his van then the side of his van then drive off. What if the parcel is lost and can’t be returned? I’m certainly not taking the hit for that",delivery_or_delay,AmazonHelp,448244,448245
29,I want my refund,refund_or_compensation,AmazonHelp,280460,280459
30,It has been refunded now to my amazon account,refund_or_compensation,AmazonHelp,277130,277131
31,And this is your fault so refund is not a solution right?,refund_or_compensation,AmazonHelp,379407,379401
32,"I want my money back . I know you have no solution, only time pass.",refund_or_compensation,AmazonHelp,388475,388474
33,I was promised a full refund for an item but I have been not refunded postage,refund_or_compensation,AmazonHelp,44926,44928
34,Will get refund for the product price that I paid? I mean credit back to Credit Card?,refund_or_compensation,AmazonHelp,319832,319830
35,"one of the worst return and refund experiences on amazon, 40 days and issue still not resolved",refund_or_compensation,AmazonHelp,246959,246960
36,our money is not safe with Amazon. They are not giving my refund after providing me a faulty product,refund_or_compensation,AmazonHelp,313699,313700
37,Hi amazon. I have cancelled my membership thank you for your help. By when will I get my refund? Thanks.,refund_or_compensation,AmazonHelp,395497,395495
38,"Hope will get a reply or call soon, just to remind you it’s regarding for refund confirmation for mottog5plus",refund_or_compensation,AmazonHelp,285612,285611
39,For my return amazon has issued refund amount on 29th oct 2017 but this is still not credited into my bank account,refund_or_compensation,AmazonHelp,46491,46492
40,Don't reply bullshit.. Bankrupt company don't have money to refund customer... From top to bottom everyone is hopeless,refund_or_compensation,AmazonHelp,234778,234779
41,Ordered a SNES classic from only for it to mysteriously dissapear in the post! money refunded as no more in stock. Merde.,refund_or_compensation,AmazonHelp,287910,287913
42,Your employees make only fake promise it's 7:09 no one came for pickup. Give me my refund I will not buy from u guys anymore,refund_or_compensation,AmazonHelp,429082,429081
43,I ordered based on info on your manufacturer section which was wrong and thats why I dont want replacement but refund. Pls help,refund_or_compensation,AmazonHelp,325432,325435
44,. I bought a used sound bar on Warehouse and the remote arrived like this. I don't want to refund the whole thing & send it back.,refund_or_compensation,AmazonHelp,377735,377738
45,Worst service ever i experienced till date all though i am prime member they have not refunded my money Order # 171-4985790-4314722,refund_or_compensation,AmazonHelp,300049,300050
46,Nothing that I hadn't received in the last 10 days. How about you at least process refund? Haven't seen a more horrific customer service,refund_or_compensation,AmazonHelp,234198,234199
