query_id,query_text,gold_intent,rank,similarity_score,relevance_score,retrieved_customer,retrieved_support
96,"Cuándo me quejo me decís que lo he hecho de otra cuenta, cuando os envío el correo de confirmación del pedido de mi cuenta... Silencio",technical_issue,1,0.3854,1,"hola, he recibido un correo de “__email__” sobre una copia de mi tarjeta en otra cuenta, es real el correo?","@182671 Hola, si el e-mail proviene de un proveedor de e-mail finalizado en __email__ o __email__ sí sería nuestro ^AR"
96,"Cuándo me quejo me decís que lo he hecho de otra cuenta, cuando os envío el correo de confirmación del pedido de mi cuenta... Silencio",technical_issue,2,0.3502,2,"me mandaron este correo el dia lunes y aun no me llega mi pedido y mi cuenta esta bloqueada, hable con sus compañeros de servicio al cliente para ver lo de mi pedido y cuenta y lo del pedido se soluciono ese es el correo que me mandaron pero la cuenta sigue bloqueada","@127729 Alejandro, por motivos de seguridad te recomiendo eliminar la imagen con la información personal de tu cuenta y pedido. En este caso por favor entra en contacto con nuestro Servicio al Cliente, accesando en el siguiente enlace: https://t.co/bPnxm0cKwb. ^NB"
96,"Cuándo me quejo me decís que lo he hecho de otra cuenta, cuando os envío el correo de confirmación del pedido de mi cuenta... Silencio",technical_issue,3,0.3415,1,Me quejo porque hacéis lo que os da la gana con mi cuenta y que me contestáis que tengo otra. Primero verificad #epicfail,"@158316 Hola Rita, ¿podrías comentarnos más sobre lo que ha ocurrido sin publicar detalles de tu cuenta? ^DA"
96,"Cuándo me quejo me decís que lo he hecho de otra cuenta, cuando os envío el correo de confirmación del pedido de mi cuenta... Silencio",technical_issue,4,0.3304,1,Ya lo he hecho 2 veces.,"@210099 Brian, ¿que respuesta recibiste por parte de nuestros agentes? ^AZ"
96,"Cuándo me quejo me decís que lo he hecho de otra cuenta, cuando os envío el correo de confirmación del pedido de mi cuenta... Silencio",technical_issue,5,0.2992,1,"Que mi cuenta ha sido bloqueada por motivos de seguridad, y recibi un correo de que ya estaba liberada","@174676 Lamento este inconveniente Iñigo, ¿Has entrado en contacto con nuestro Servicio al Cliente para reportar lo sucedido? ^AZ"
16,Whays the point of even doing same day shipping when the deliveries aren't even attempted... home all day and no one came by.,delivery_or_delay,1,0.2534,1,What’s the point of prime if I get 10+ day shipping?,@127576 I'm so sorry for the delay! Please reach out to us here: https://t.co/hApLpMlfHN and we can help with this. ^TK
16,Whays the point of even doing same day shipping when the deliveries aren't even attempted... home all day and no one came by.,delivery_or_delay,2,0.2426,1,"Odd, I got the package that was delivered after my first one, first. Even though I pad for same day shipping for the first package and was told it would be at my doorstep tonight...what's the point of paying same day shipping if you don't get it same day?","@213581 Oh no! Although we can't access accounts via Twitter, we still want to help. Please call or chat in so we can explore available options together here: https://t.co/hApLpMlfHN ^SG"
16,Whays the point of even doing same day shipping when the deliveries aren't even attempted... home all day and no one came by.,delivery_or_delay,3,0.2287,1,I paid $52 to get same-day shipping and it’s not even here #wasteofmoney,@189762 I'm sorry for the wait! What's the tracking info say? Who's the carrier for your order shown here: https://t.co/Y5jpI9gRhE? ^DW
16,Whays the point of even doing same day shipping when the deliveries aren't even attempted... home all day and no one came by.,delivery_or_delay,4,0.2163,1,delivery driver left no card not even attempted delivery. What’s the point in your service #aweful,@187426 Oh! Have you tried to reach out to us here: https://t.co/JzP7hlRCV9 for real-time assistance with this? Keep us posted! ^FR
16,Whays the point of even doing same day shipping when the deliveries aren't even attempted... home all day and no one came by.,delivery_or_delay,5,0.2137,1,"apparently one of your drivers has attempted delivery, strange that, I’ve been in all day and no ones knocked the door 🤔🤔",@186000 I'm sorry we missed you. Do you use our Unattended Delivery Preference options? Details here: https://t.co/4m9qrRxrdF ^TM
31,And this is your fault so refund is not a solution right?,refund_or_compensation,1,0.367,1,This is your answer:,@138635 We already consider your request. Please have some patience. Thanks :) ^DS
31,And this is your fault so refund is not a solution right?,refund_or_compensation,2,0.3307,1,THIS IS NOT TRACKING. THIS IS ASSUMPTION.,@141445 If your order wasn't delivered did you get a chance to contact the Seller? They can take up to 48 hours to respond back.  ^AF
