id,customer_text,gold_intent,predicted_intent,confidence,top_similarity,failure_categories,failure_detail,retrieved_support_sample
1,Where is my order?,delivery_or_delay,delivery_or_delay,0.5581,1.0,short_context_dependency,Short text (4 words) with uncertain confidence,@176370 We've sent you a correspondence to your registered email address. Kindly do check and revert for any further con
4,"Order cancelled Sep26, still no news of refund. TrackingID 451101869025",delivery_or_delay,refund_or_compensation,0.9962,0.7089,intent_misclassification,Predicted 'refund_or_compensation' (conf 1.00) instead of gold 'delivery_or_delay',"@143734 Hi, please fill in this link and we will reach out to you as soon as possible:https://t.co/mk7tow11c4 ^CR"
41,Ordered a SNES classic from only for it to mysteriously dissapear in the post! money refunded as no more in stock. Merde.,refund_or_compensation,product_or_service_info,0.7321,0.3178,intent_misclassification,Predicted 'product_or_service_info' (conf 0.73) instead of gold 'refund_or_compensation',"@182813 Hey there- Best to keep an eye on site, any updates will be shown there first. ^NV"
58,there is an issue of recharge relience jio via Amazon pay so plz check this issue,payment_or_billing,other,0.4272,0.2463,intent_misclassification,Predicted 'other' (conf 0.43) instead of gold 'payment_or_billing',"@207427 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is publi"
61,Can you please PM me I have a problem with my kindle fire it won't start up but it's fully charged :(,payment_or_billing,technical_issue,0.6394,0.3126,intent_misclassification,Predicted 'technical_issue' (conf 0.64) instead of gold 'payment_or_billing',@205263 Please let us know what went wrong and we'll be happy to help. ^SH
62,"as a prime member curious if you can make a payment with the amazon app, if not when will it be available?💸",payment_or_billing,product_or_service_info,0.495,0.2582,intent_misclassification,Predicted 'product_or_service_info' (conf 0.49) instead of gold 'payment_or_billing',@216470 We haven't made any announcement on that. Stay tuned to prime video as we keep adding the content. ^MA
65,I have ordered a mobile with exchange offer. Is it necessary to give chargers and earphone with mobile during pickup???,payment_or_billing,product_or_service_info,0.9224,0.3332,intent_misclassification,Predicted 'product_or_service_info' (conf 0.92) instead of gold 'payment_or_billing',"@143958 We don't have an announcement on this yet, Ketan. Request you to check the availability of exchange option while"
66,Now if my #prime fees aren’t due until the 22nd why would they suspend my membership TODAY? What’s with these companies?💩🤢,payment_or_billing,other,0.3666,0.2198,intent_misclassification,Predicted 'other' (conf 0.37) instead of gold 'payment_or_billing',@164628 That's odd! We'd like to help further! Could you confirm the delivery date of the package as well as the current
70,Reporting is next step... First show me what u said.. R u saying that third party app Komparify is the one to be used for recharge?,payment_or_billing,other,0.3954,0.3081,intent_misclassification,Predicted 'other' (conf 0.40) instead of gold 'payment_or_billing',"@131411 Prices on our website is offered as per seller's discretion. However, we will consider this as feedback and pass"
73,Impossible de me connecté sur ordinateur et mon téléphone j’ai supprimer l’appli puis je l’ai re télécharger ils disent un problème est survenu et c’est tout,payment_or_billing,other,0.8899,0.3155,intent_misclassification,Predicted 'other' (conf 0.89) instead of gold 'payment_or_billing',@194877 Avez-vous effectué des recherches auprès de votre entourage ? ^ Ko
